"DOY","field","sensor","raw_smr","filename","date","depth_1","depth_2","depth_3","year","day","sm_mean","error"
"1922014","OD",3,0.21535046,"rz.mc_1922014.asc","2014-07-11",0.173848856487816,0.18392371875598,0.158884138628147,2014,192,0.172218904623981,0.0431315553760193
"1952012","AES",3,0.1733268,"rz.mc_1952012.asc","2012-07-13",0.309097086117934,0.301137100941118,0.326791383592216,2012,195,0.312341856883756,0.139015056883756
"1962011","OD",3,0.21267293,"rz.mc_1962011.asc","2011-07-15",NA,NA,NA,2011,196,NA,NA
"1962013","OD",3,0.21324428,"rz.mc_1962013.asc","2013-07-15",0.168230468571146,0.214037127647834,0.265466070949735,2013,196,0.215911222389572,0.00266694238957194
"1972012","OD",3,0.23206432,"rz.mc_1972012.asc","2012-07-15",0.124564346839571,0.195132026427192,0.179495535921521,2012,197,0.166397303062761,0.0656670169372388
"2052013","OD",3,0.20931605,"rz.mc_2052013.asc","2013-07-24",0.150823352012494,0.199104796711249,0.19983762832118,2013,205,0.183255259014974,0.0260607909850258
"2062014","AES",3,0.16346082,"rz.mc_2062014.asc","2014-07-25",0.150798634683335,0.219664632591732,0.218685354668843,2014,206,0.196382873981303,0.0329220539813033
"2082013","AES",3,0.15923566,"rz.mc_2082013.asc","2013-07-27",0.197684744127885,0.284329557460632,0.284326250518672,2013,208,0.255446850702397,0.0962111907023965
"2122011","AES",3,0.16290184,"rz.mc_2122011.asc","2011-07-31",NA,NA,NA,2011,212,NA,NA
"2132012","OD",3,0.21489026,"rz.mc_2132012.asc","2012-07-31",0.115610951856672,0.178945133106864,0.146665771419819,2012,213,0.147073952127785,0.0678163078722151
"2152011","OD",3,0.2053997,"rz.mc_2152011.asc","2011-08-03",NA,NA,NA,2011,215,NA,NA
"2172012","OD",3,0.21009422,"rz.mc_2172012.asc","2012-08-04",0.115553057560862,0.178131007703209,0.145540471987559,2012,217,0.146408179083876,0.0636860409161236
"1342014","AES",4,0.29418405,"rz.mc_1342014.asc","2014-05-14",NA,0.309344949540828,0.294984906850107,2014,134,0.302164928195468,0.00798087819546772
"1502014","OD",4,0.30463731,"rz.mc_1502014.asc","2014-05-30",0.211803914783246,0.244941918188389,0.220259302583812,2014,150,0.225668378518482,0.0789689314815178
"1552014","AES",4,0.22474367,"rz.mc_1552014.asc","2014-06-04",NA,0.305704851789226,0.307021440933817,2014,155,0.306363146361522,0.0816194763615217
"1592013","AES",4,0.21401602,"rz.mc_1592013.asc","2013-06-08",NA,0.319004498037067,0.336948910946554,2013,159,0.327976704491811,0.113960684491811
"1652012","OD",4,0.32227987,"rz.mc_1652012.asc","2012-06-13",0.235872096665421,0.239321453867569,0.221744173023671,2012,165,0.232312574518887,0.0899672954811132
"1662013","AES",4,0.18542848,"rz.mc_1662013.asc","2013-06-15",NA,0.271242988423546,0.302407798639435,2013,166,0.286825393531491,0.10139691353149
"1662013","OD",4,0.23923548,"rz.mc_1662013.asc","2013-06-15",0.212597859404087,0.188195709471871,0.188198709305385,2013,166,0.196330759393781,0.0429047206062191
"1672012","OD",4,0.31278491,"rz.mc_1672012.asc","2012-06-15",0.234251566834022,0.233993107409784,0.220755051794054,2012,167,0.229666575345953,0.0831183346540467
"1702014","AES",4,0.2007208,"rz.mc_1702014.asc","2014-06-19",NA,0.224326185285807,0.282806690093701,2014,170,0.253566437689754,0.0528456376897536
"1702014","OD",4,0.26527776,"rz.mc_1702014.asc","2014-06-19",0.170222700061937,0.198455554292777,0.212971996582966,2014,170,0.193883416979226,0.0713943430207736
"1772011","AES",4,0.20860225,"rz.mc_1772011.asc","2011-06-26",NA,NA,NA,2011,177,NA,NA
"1772012","AES",4,0.17361706,"rz.mc_1772012.asc","2012-06-25",NA,0.362754298882612,0.356406568097726,2012,177,0.359580433490169,0.185963373490169
