date,field,sensor,sand_1,sand_2,sand_3,sand_4,sand_5,silt_1,silt_2,silt_3,silt_4,silt_5,clay_1,clay_2,clay_3,clay_4,clay_5,TN_1,TN_2,TN_3,TN_4,TN_5,TC_1,TC_2,TC_3,TC_4,TC_5
2011,J,1,10.254272948240613,10.9159309891707,10.0636400526539,8.58417716308561,10.9610580894279,61.89337755296703,65.1020387744012,61.7595534309225,59.3726846134852,58.2519762878632,27.852349498792336,23.9820302364282,28.1768065164235,32.0431382234292,30.7869656227089,0.110295,0.05753,0.05238,0.04686,0.0387,1.24268,0.4593,0.39022,0.3161,0.30181
2011,J,2,9.519013224192223,9.34253140070584,9.75395695502885,7.48794104732134,9.45234081995494,60.28850021905203,58.369758264275,60.2629595511261,53.1551370643174,53.6345134465621,30.192486556755735,32.2877103350192,29.9830834938451,39.3569218883612,36.913145733483,0.10478666666666665,0.06949,0.05703,0.03528,0.03808,1.1755966666666666,0.66233,0.46685,0.35484,0.28734
2011,J,3,9.77760040228864,7.62215267784964,8.46584181760816,9.63813259117662,10.7699559300021,61.2913088104602,56.4516940539565,63.3394512842613,54.8694127784333,53.4641259670187,28.931090787251197,35.9261532681938,28.1947068981305,35.4924546303901,35.7659181029791,0.16399666666666668,0.13938,0.078,0.05073,0.03474,2.1973333333333334,1.7402,0.83632,0.41572,0.24994
2011,J,4,10.031601857048932,11.5367584176421,10.0963012115967,8.41330784860469,9.69673465703381,64.63830212000359,61.2837474690476,54.2641664505305,57.3741133624118,59.4762479480849,25.33009602294747,27.1794941133103,35.6395323378728,34.2125787889835,30.8270173948813,0.10602,0.05532,0.04852,0.03258,0.03753,1.1751133333333332,0.44464,0.32991,0.27506,0.25351
2011,J,5,9.380680775602134,8.56990623059213,7.31980888542169,7.54939233612254,8.97178332220932,61.7807885477327,60.9857496292313,52.9013724223132,57.7057338455385,60.3373390529155,28.8385306766652,30.4443441401765,39.7788186922651,34.744873818339,30.6908776248752,0.09147333333333334,0.05896,0.05269,0.04951,0.04343,0.99858,0.48716,0.3365,0.278,0.26842
2011,J,6,13.766703388661,13.1151640493788,12.7210723029598,10.5654349126566,8.10288545135413,61.7557902351757,61.4361459463296,62.6601156339658,57.9504780747334,53.0503108544804,24.477506376163333,25.4486900042916,24.6188120630744,31.48408701261,38.8468036941655,0.12735333333333335,0.10321,0.09349,0.05976,0.03155,1.5502,1.365,0.96452,0.44014,0.31821
2011,J,7,8.802632888187203,8.34924083429139,8.40289502979278,8.49456330881651,9.86323853058532,61.098806824167035,54.6304010799518,50.8897242683757,52.8079451506282,49.9842315687396,30.0985602876458,37.0203580857568,40.7073807018315,38.6974915405553,40.1525299006751,0.10199333333333334,0.05523,0.04197,0.03963,0.01864,1.0858933333333334,0.43107,0.30548,0.27526,0.24908
2011,J,8,9.785519299736633,9.99611575707874,8.00084751844563,7.4231156110349,7.4430959405381,60.62674646166543,63.9406142415606,58.9845498754349,60.0563956268658,60.284926693115,29.587734238597932,26.0632700013606,33.0146026061195,32.5204887620993,32.2719773663469,0.13077000000000003,0.05857,0.05213,0.04178,0.04308,1.5193333333333332,0.48124,0.36475,0.33456,0.28707
2011,J,9,9.147158931063743,7.73098061314217,7.7172725128637,7.36844555123697,7.71568558312586,62.5565913805074,61.3413628170183,53.946498626425,55.5908354916898,56.5512470490257,28.296249688428833,30.9276565698396,38.3362288607113,37.0407189570733,35.7330673678484,0.1388,0.10382,0.06712,0.04932,0.04574,1.6795,0.74982,0.43216,0.27901,0.24858
2011,J,10,7.98366653872868,8.39293489450596,8.56208953526121,7.58962636771605,8.11053795640164,64.71248976207227,65.8176749146906,64.2357451848269,63.9359967729458,60.2667049529456,27.303843699199067,25.7893901908034,27.2021652799119,28.4743768593382,31.6227570906528,0.19185666666666668,0.09549,0.07988,0.05791,0.04706,2.2136,0.78526,0.41853,0.3546,0.34118
2011,J,11,8.684512691650717,8.15956542308054,9.72119417715261,8.06367440715514,10.249794539162,57.141449760873364,62.1627612308162,55.8693205438906,51.7928940674492,53.0432761098984,34.174037547475905,29.6776733461033,34.4094852789568,40.1434315253956,36.7069293509396,0.10831,0.09992,0.06109,0.03154,0.03058,1.2261666666666666,1.1084,0.56976,0.32416,0.23981
2011,J,12,11.037377573869799,8.89870425645712,7.74118305339543,9.39357868261656,11.8121212320936,66.6079323835677,66.391759692196,48.8079467966423,55.8118792076166,54.9347341086368,22.3546900425625,24.7095360513469,43.4508701499623,34.7945421097668,33.2531446592696,0.11847666666666667,0.08257,0.06483,0.02774,0.02842,1.5859333333333332,1.3627,0.76812,0.3212,0.25029
2012,J,1,,,,,,,,,,,,,,,,0.12807,0.04532,,0.05346,0.05651,1.4994,0.29166,,0.2775,0.47032
2012,J,2,,,,,,,,,,,,,,,,0.11178,0.06867,0.0553,0.04957,0.03333,1.1513,0.61435,0.42996,0.30643,0.22385
2012,J,3,,,,,,,,,,,,,,,,0.15622,0.12927,0.06331,0.05209,0.03551,2.0662,1.6586,0.58504,0.3703,0.26371
2012,J,4,,,,,,,,,,,,,,,,0.10938,0.06386,0.04729,0.03585,0.045454999999999995,1.3462,0.5004,0.35219,0.25675,0.23146
2012,J,5,,,,,,,,,,,,,,,,0.09018,0.05236,0.05058,,0.04358,0.93993,0.39117,0.31829,,0.23028
